Account Name,Primary Contact,Main Phone,Account Number,Account Rating,Address 1: Address Type,Address 1: City,Address 1: Country/Region,Address 1: County,Address 1: Fax,Address 1: Freight Terms,Address 1: Latitude,Address 1: Longitude,Address 1: Name,Address 1: Post Office Box,Address 1: Primary Contact Name,Address 1: Shipping Method,Address 1: State/Province,Address 1: Street 1,Address 1: Street 2,Address 1: Street 3,Address 1: Telephone 2,Address 1: Telephone 3,Address 1: UPS Zone,Address 1: UTC Offset,Address 1: ZIP/Postal Code,Address 2: Address Type,Address 2: City,Address 2: Country/Region,Address 2: County,Address 2: Fax,Address 2: Freight Terms,Address 2: Latitude,Address 2: Longitude,Address 2: Name,Address 2: Post Office Box,Address 2: Primary Contact Name,Address 2: Shipping Method,Address 2: State/Province,Address 2: Street 1,Address 2: Street 2,Address 2: Street 3,Address 2: Telephone 1,Address 2: Telephone 2,Address 2: Telephone 3,Address 2: UPS Zone,Address 2: UTC Offset,Address 2: ZIP/Postal Code,Address Phone,Aging 30,Aging 60,Aging 90,Annual Revenue,Business Type,Category,Classification,Created By,Created On,Credit Hold,Credit Limit,Customer Size,Description,Do not allow Bulk E-mails,Do not allow Bulk Mails,Do not allow E-mails,Do not allow Faxes,Do not allow Mails,Do not allow Phone Calls,E-mail,E-mail Address 2,E-mail Address 3,Fax,FTP Site,Industry,Last Date Included in Campaign,Market Capitalization,Modified By,Modified On,No. of Employees,Originating Lead,Other Phone,Propriétaire,Ownership,Parent Account,Payment Terms,Preferred Day,Preferred Facility/Equipment,Preferred Method of Contact,Preferred Service,Preferred Time,Preferred User,Price List,Relationship Type,Send Marketing Materials,Shares Outstanding,Shipping Method,SIC Code,Status,Status Reason,Stock Exchange,Telephone 3,Territory,Territory Code,Ticker Symbol,Web Site
Magasin de cycles LMN,Stig Struve-Christensen,123 4567,VAS61D68,2,,Caen,France,,,,,,,,,,Basse-Normandie,334, rue du Jeudi,,,,,,14002,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"1 000 000 000,00 €",,1,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,33,,,First name Last name,1/24/2008,5239,Stig Struve-Christensen,,Gail Erickson,2,,4,,,5,,,,33,8,0,,,,Actif,1,,,Ouest,,,
Détaillants pour VTT XYZ,Ole Gotfred,123 4567,FUN86F78,1,,Toulouse,France,,,,,,,,,,Midi - Pyrénées,123, avenue du Mercredi,,,,,,31100,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"45 500 000,00 €",,2,,First name Last name,1/24/2008,0,,,,,,1,0,0,0,someone@example.com,,,,,14,,,First name Last name,1/24/2008,930,Marie Dubois,,Alan Jackson,2,,4,,,1,,,,14,8,0,,,,Actif,1,,,Est,,,
Accessoires de loisirs ABC,Yolanda Sánchez Sánchez,123 4567,ACSHN2S4,1,,Châlons-en-Champagne,France,,,,,,,,,,Champagne - Ardenne,112, avenue du Mardi,,,,,,17620,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"300 000 000,00 €",,2,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,33,,,First name Last name,1/24/2008,61,,,Jose Curry,2,,4,,,1,,,,33,3,0,,,,Actif,1,,,Centre,,,
Fournitures pour VTT LMN,Nicolo Petardo,123 4567,,3,,Caen,France,,,,,,,,,,Basse-Normandie,225, rue du Samedi,,,,,,14000,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"620 000 000,00 €",,1,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,33,,,First name Last name,1/24/2008,149,,,Alan Jackson,,,4,,,3,,,,33,3,0,,,,Actif,1,,,Est,,,
Équipements de compétition ABC,Véronique Siebenschuch,123 4567,LAPFH639,3,,Rouen,France,,,,,,,,,,Haute-Normandie,223, impasse du Dimanche,,,,,,76000,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"200 000,00 €",,1,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,33,,,First name Last name,1/24/2008,258,,,Gail Erickson,2,,4,,,3,,,,33,3,0,,,,Actif,1,,,Ouest,,,
Détaillants du sport LMN,Berend Otten,123 4567,,1,,Clermont-Ferrand,France,,,,,,,,,,Auvergne,113, rue du Dimanche,,,,,,63100,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"890 000,00 €",,2,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,33,,,First name Last name,1/24/2008,52,,,Gail Erickson,,,4,,,5,,,,33,3,0,,,,Actif,1,,,Ouest,,,
Détaillants du sport ABC,Steen Jakobsson,123 4567,,2,,Amiens,France,,,,,,,,,,Picardie,113, impasse du Vendredi,,,,,,80080,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"6 000 000,00 €",,2,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,33,,,First name Last name,1/24/2008,468,,,Alan Jackson,,,4,,,1,,,,33,3,0,,,,Actif,1,,,Est,,,
Équipements de remise en forme XYZ,Jesper Herp,123 4567,FIRBB649,2,,Montpellier,France,,,,,,,,,,Languedoc - Roussillon,223, rue du Jeudi,,,,,,34071,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"275 000,00 €",,2,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,33,,,First name Last name,1/24/2008,6289,Dominik Paiha,,Alan Jackson,2,,4,,,,,,,33,8,0,,,,Actif,1,,,Est,,,
Équipements de sport LMN,Sabine Royant,123 4567,,2,,Caen,France,,,,,,,,,,Basse-Normandie,223, rue du Mardi,,,,,,14000,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"750 000 000,00 €",,2,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,14,,,First name Last name,1/24/2008,49,,,Gail Erickson,,,4,,,2,,,,14,3,0,,,,Actif,1,,,Ouest,,,
Centre de remise en forme ABC,Luisa Cazzaniga,123 4567,COABC22W,1,,Limoges,France,,,,,,,,,,Limousin,113, avenue du Lundi,,,,,,87100,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"30 000 000,00 €",,2,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,33,,,First name Last name,1/24/2008,72,,,Jose Curry,2,,4,,,2,,,,33,3,0,,,,Actif,1,,,Centre,,,
Location de vélos XYZ,Mads Ebdrup,123 4567,THEDF540,2,,Nancy,France,,,,,,,,,,Lorraine,334, avenue du Samedi,,,,,,54000,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"10 470 000,00 €",,2,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,33,,,First name Last name,1/24/2008,879,Mads Ebdrup,,Jose Curry,2,,4,,,2,,,,33,8,0,,,,Actif,1,,,Centre,,,
Entreprise de compétition XYZ,Olivier Renaud,123 4567,,3,,Strasbourg,France,,,,,,,,,,Alsace,123, rue du Mercredi,,,,,,67100,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"28 000 000,00 €",,1,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,14,,,First name Last name,1/24/2008,65,,,Gail Erickson,,,4,,,1,,,,14,3,0,,,,Actif,1,,,Ouest,,,
Centre de compétition LMN,Laura Giussani,123 4567,,2,,Lille,France,,,,,,,,,,Nord - Pas-de-Calais,112, rue du Mercredi,,,,,,59000,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"1 460 000 000,00 €",,2,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,14,,,First name Last name,1/24/2008,82,,,Alan Jackson,,,4,,,3,,,,14,3,0,,,,Actif,1,,,Est,,,
Magasin du VTT ABC,Daniel Durrer,123 4567,WORF0BAD,1,,Besançon,France,,,,,,,,,,Franche-Comté,445, boulevard du Jeudi,,,,,,25000,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"255 000 000,00 €",,1,,First name Last name,1/24/2008,0,,,,,,0,1,0,0,someone@example.com,,,,,33,,,First name Last name,1/24/2008,2035,Daniel Durrer,,Gail Erickson,2,,4,,,2,,,,33,8,0,,,,Actif,1,,,Ouest,,,
Centre du vélo XYZ,Seidel Manuela,123 4567,,3,,Ajaccio,France,,,,,,,,,,Corse,113, boulevard du Vendredi,,,,,,20090,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"2 900 000,00 €",,1,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,33,,,First name Last name,1/24/2008,96,,,Alan Jackson,,,4,,,1,,,,33,3,0,,,,Actif,1,,,Est,,,
Centre du VTT ABC,Ralf Riethmüller,123 4567,,2,,Limoges,France,,,,,,,,,,Limousin,113, impasse du Dimanche,,,,,,87100,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"24 500 000,00 €",,2,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,14,,,First name Last name,1/24/2008,102,,,Alan Jackson,,,4,,,3,,,,14,3,0,,,,Actif,1,,,Est,,,
Entreprise de remise en forme XYZ,ChristianeRønnow Jensen,123 4567,,3,,Limoges,France,,,,,,,,,,Limousin,223, avenue du Mercredi,,,,,,87100,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"25 575 000,00 €",,1,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,33,,,First name Last name,1/24/2008,95,,,Alan Jackson,,,4,,,1,,,,33,3,0,,,,Actif,1,,,Est,,,
Centre de sport XYZ,Martin Berka,123 4567,,3,,Lille,France,,,,,,,,,,Nord - Pas-de-Calais,113, boulevard du Dimanche,,,,,,59000,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"400 000 000,00 €",,1,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,33,,,First name Last name,1/24/2008,879,,,Alan Jackson,,,4,,,1,,,,33,3,0,,,,Actif,1,,,Est,,,
Fournitures de loisirs XYZ,Dorena Paschke,123 4567,RUG668B3,1,,Clermont-Ferrand,France,,,,,,,,,,Auvergne,225, boulevard du Samedi,,,,,,63100,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"12 250 000,00 €",,2,,First name Last name,1/24/2008,0,,,,,,1,0,0,0,someone@example.com,,,,,33,,,First name Last name,1/24/2008,8028,Dorena Paschke,,Gail Erickson,2,,4,,,1,,,,33,8,0,,,,Actif,1,,,Ouest,,,
Distributeurs de VTT XYZ,Flemming Nielsen,123 4567,GRA1B534,2,,Rouen,France,,,,,,,,,,Haute-Normandie,123, impasse du Mardi,,,,,,76000,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"9 000 000,00 €",,2,,First name Last name,1/24/2008,0,,,,,,0,1,0,0,someone@example.com,,,,,33,,,First name Last name,1/24/2008,2068,Flemming Nielsen,,Jose Curry,2,,4,,,3,,,,33,8,0,,,,Actif,1,,,Centre,,,
Location pour les loisirs ABC,Joris Kalz,123 4567,TWOD1BA7,1,,Dijon,France,,,,,,,,,,Bourgogne,334, impasse du Jeudi,,,,,,21000,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"670 000 000,00 €",,2,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,33,,,First name Last name,1/24/2008,945,Joris Kalz,,Gail Erickson,2,,4,,,3,,,,33,8,0,,,,Actif,1,,,Ouest,,,
Location de cycles XYZ,Stefan Rißling,123 4567,SUB582B4,2,,Lille,France,,,,,,,,,,Nord - Pas-de-Calais,334, avenue du Lundi,,,,,,59000,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"8 500 000,00 €",,2,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,14,,,First name Last name,1/24/2008,5135,Stefan Rißling,,Gail Erickson,2,,4,,,1,,,,14,8,0,,,,Actif,1,,,Ouest,,,
Accessoires de compétition XYZ,Koos Splinter,123 4567,ABC28UU7,2,,Amiens,France,,,,,,,,,,Picardie,112, avenue du Lundi,,,,,,80080,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"210 000 000,00 €",,2,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,33,,,First name Last name,1/24/2008,369,,,Jose Curry,2,,4,,,3,,,,33,3,0,,,,Actif,1,,,Centre,,,
Location de VTT XYZ,Tjeerd Veninga,123 4567,TRA42C55,1,,Clermont-Ferrand,France,,,,,,,,,,Auvergne,334, boulevard du Jeudi,,,,,,63101,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"210 000 000,00 €",,1,,First name Last name,1/24/2008,0,,,,,,1,0,0,0,someone@example.com,,,,,14,,,First name Last name,1/24/2008,1800,Tjeerd Veninga,,Gail Erickson,2,,4,,,3,,,,14,8,0,,,,Actif,1,,,Ouest,,,
Accessoires pour VTT LMN,Arno Bost,123 4567,BIK6FC6E,3,,Le Havre,France,,,,,,,,,,Haute-Normandie,112, impasse du Samedi,,,,,,76621,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"510 000 000,00 €",,2,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,33,,,First name Last name,1/24/2008,2068,Arno Bost,,Gail Erickson,2,,4,,,2,,,,33,8,0,,,,Actif,1,,,Ouest,,,
Entreprise de loisirs ABC,Kathrin Uerckwitz,123 4567,,2,,Montpellier,France,,,,,,,,,,Languedoc - Roussillon,124, rue du Lundi,,,,,,34070,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"11 500 000,00 €",,2,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,14,,,First name Last name,1/24/2008,109,,,Alan Jackson,,,4,,,5,,,,14,3,0,,,,Actif,1,,,Est,,,
Fournitures pour remise en forme LMN,Alfons Parovszky,123 4567,,1,,Lyon,France,,,,,,,,,,Rhône - Alpes,445, boulevard du Samedi,,,,,,69001,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"10 470 000,00 €",,2,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,33,,,First name Last name,1/24/2008,35,,,Gail Erickson,,,4,,,1,,,,33,3,0,,,,Actif,1,,,Ouest,,,
Entreprise de vélos ZYX,Michael Mogensen,123 4567,ASIOBBR3,3,,Lille,France,,,,,,,,,,Nord - Pas-de-Calais,344, avenue du Lundi,,,,,,59000,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"7 000 000,00 €",,1,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,14,,,First name Last name,1/24/2008,639,,,Gail Erickson,2,,4,,,1,,,,14,3,0,,,,Actif,1,,,Ouest,,,
Magasin du VTT LMN,Gerhard Goeschl,123 4567,YEA0F669,2,,Nice,France,,,,,,,,,,Provence - Alpes - Côte d'Azur,445, boulevard du Lundi,,,,,,O6100,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"18 350 000,00 €",,2,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,14,,,First name Last name,1/24/2008,7948,Gerhard Goeschl,,Gail Erickson,2,,4,,,2,,,,14,8,0,,,,Actif,1,,,Ouest,,,
Professionnels de la remise en forme ABC,Ties Arts,123 4567,,3,,Besançon,France,,,,,,,,,,Franche-Comté,344, boulevard du Mercredi,,,,,,25000,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"400 000 000,00 €",,2,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,33,,,First name Last name,1/24/2008,95,,,Gail Erickson,,,4,,,3,,,,33,3,0,,,,Actif,1,,,Ouest,,,
Professionnels des loisirs LMN,Guido Chuffart,123 4567,POF654Y3,3,,Dijon,France,,,,,,,,,,Bourgogne,344, impasse du Jeudi,,,,,,21000,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"1 100 000 000,00 €",,2,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,14,,,First name Last name,1/24/2008,279,,,Gail Erickson,2,,4,,,3,,,,14,3,0,,,,Actif,1,,,Ouest,,,
Entreprise d'activités LMN,Thomas Hamborg,123 4567,GRE979BF,3,,Saint-Étienne,France,,,,,,,,,,Rhône - Alpes,123, impasse du Vendredi,,,,,,42000,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"670 000 000,00 €",,2,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,33,,,First name Last name,1/24/2008,6256,Thomas Hamborg,,Jose Curry,2,,4,,,1,,,,33,8,0,,,,Actif,1,,,Centre,,,
Équipements de remise en forme LMN,Francisco Pérez-Olaeta,123 4567,NEX06F6D,2,,Reims,France,,,,,,,,,,Champagne - Ardenne,223, rue du Dimanche,,,,,,51100,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"650 000,00 €",,1,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,33,,,First name Last name,1/24/2008,6790,Massimiliano Monaco,,Alan Jackson,2,,4,,,1,,,,33,8,0,,,,Actif,1,,,Est,,,
Accessoires de loisirs XYZ,JanneLinde Hoffmann,123 4567,,1,,Toulouse,France,,,,,,,,,,Midi - Pyrénées,112, avenue du Samedi,,,,,,31100,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"165 000,00 €",,1,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,33,,,First name Last name,1/24/2008,640,,,Alan Jackson,,,4,,,1,,,,33,3,0,,,,Actif,1,,,Est,,,
Location de vélos ABC,Michel Cordani,123 4567,,3,,Montpellier,France,,,,,,,,,,Languedoc - Roussillon,334, avenue du Mardi,,,,,,34070,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"80 000 000,00 €",,2,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,14,,,First name Last name,1/24/2008,110,,,Gail Erickson,,,4,,,1,,,,14,3,0,,,,Actif,1,,,Ouest,,,
Centre d'activités LMN,Thorsten Weinrich,123 4567,,1,,Montpellier,France,,,,,,,,,,Languedoc - Roussillon,112, rue du Jeudi,,,,,,34070,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"100 000,00 €",,2,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,14,,,First name Last name,1/24/2008,1829,,,Alan Jackson,,,4,,,1,,,,14,3,0,,,,Actif,1,,,Est,,,
Centre de loisirs LMN,Ariane Berthier,123 4567,CERBS3J4,3,,Dijon,France,,,,,,,,,,Bourgogne,113, avenue du Dimanche,,,,,,21000,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"890 000,00 €",,2,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,33,,,First name Last name,1/24/2008,77,,,Jose Curry,2,,4,,,3,,,,33,3,0,,,,Actif,1,,,Centre,,,
Centre du cycle XYZ,Christof Sprenger,123 4567,,2,,Nantes,France,,,,,,,,,,Pays-de-la Loire,113, boulevard du Mardi,,,,,,44100,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"125 000 000,00 €",,2,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,14,,,First name Last name,1/24/2008,8,,,Alan Jackson,,,4,,,5,,,,14,3,0,,,,Actif,1,,,Est,,,
Centre du vélo ABC,Anders Madsen,123 4567,EBC8HU74,3,,Paris,France,,,,,,,,,,Île-de-France,778, impasse du Vendredi,,,,,,75010,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"9 000 000,00 €",,1,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,33,,,First name Last name,1/24/2008,49,,,Jose Curry,2,,4,,,1,,,,33,3,0,,,,Actif,1,,,Centre,,,
Location pour le sport ABC,Erwin Zischka,123 4567,,1,,Nantes,France,,,,,,,,,,Pays-de-la Loire,334, boulevard du Samedi,,,,,,44100,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"5 500 000,00 €",,1,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,14,,,First name Last name,1/24/2008,72,,,Gail Erickson,,,4,,,2,,,,14,3,0,,,,Actif,1,,,Ouest,,,
Fournitures de sport XYZ,Hervé Bouraima,123 4567,SCO05B99,1,,Saint-Étienne,France,,,,,,,,,,Rhône - Alpes,225, impasse du Jeudi,,,,,,42000,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"2 900 000,00 €",,2,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,33,,,First name Last name,1/24/2008,1253,Hervé Bouraima,,Jose Curry,2,,4,,,1,,,,33,3,0,,,,Actif,1,,,Centre,,,
Détaillants du sport XYZ,Peter Brehm,123 4567,FIF69650,3,,Strasbourg,France,,,,,,,,,,Alsace,113, rue du Jeudi,,,,,,67100,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"400 000,00 €",,2,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,33,,,First name Last name,1/24/2008,6800,Peter Brehm,,Gail Erickson,2,,4,,,2,,,,33,8,0,,,,Actif,1,,,Ouest,,,
Professionnels de la compétition ABC,Ties Arts,123 4567,,2,,Strasbourg,France,,,,,,,,,,Alsace,445, boulevard du Mercredi,,,,,,67100,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"1 650 000 000,00 €",,1,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,33,,,First name Last name,1/24/2008,757,,,Alan Jackson,,,4,,,3,,,,33,3,0,,,,Actif,1,,,Est,,,
Entreprise du sport XYZ,AnneGrethe Hansen,123 4567,MOB82231,2,,Rennes,France,,,,,,,,,,Bretagne,223, boulevard du Vendredi,,,,,,35200,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"80 000 000,00 €",,2,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,33,,,First name Last name,1/24/2008,5200,AndreasHanefeld Dziegiel,,Alan Jackson,2,,4,,,2,,,,33,8,0,,,,Actif,1,,,Est,,,
Professionnels de la compétition LMN,Emmanuel Dubuc,123 4567,AFFSE9IK,2,,Limoges,France,,,,,,,,,,Limousin,344, boulevard du Lundi,,,,,,87100,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"745 000 000,00 €",,2,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,14,,,First name Last name,1/24/2008,269,,,Jose Curry,2,,4,,,2,,,,14,3,0,,,,Actif,1,,,Centre,,,
Accessoires de loisirs LMN,Lene Aalling,123 4567,,1,,Limoges,France,,,,,,,,,,Limousin,112, avenue du Mercredi,,,,,,87100,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"200 000,00 €",,2,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,14,,,First name Last name,1/24/2008,410,,,Alan Jackson,,,4,,,1,,,,14,3,0,,,,Actif,1,,,Est,,,
Centre de remise en forme XYZ,Stefan Rißling,123 4567,CSG01TR7,2,,Poitiers,France,,,,,,,,,,Poitou - Charentes,113, avenue du Mercredi,,,,,,86001,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"200 000 000,00 €",,2,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,14,,,First name Last name,1/24/2008,199,,,Jose Curry,2,,4,,,3,,,,14,3,0,,,,Actif,1,,,Centre,,,
Équipements de compétition LMN,Henrik Larsen,123 4567,M89VHJE8,1,,Nancy,France,,,,,,,,,,Lorraine,344, avenue du Samedi,,,,,,54000,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"18 350 000,00 €",,1,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,33,,,First name Last name,1/24/2008,248,,,Gail Erickson,2,,4,,,5,,,,33,3,0,,,,Actif,1,,,Ouest,,,
Location pour la compétition LMN,Isabel Victoria,123 4567,,2,,Nancy,France,,,,,,,,,,Lorraine,334, boulevard du Mardi,,,,,,54000,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"20 000 000,00 €",,1,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,14,,,First name Last name,1/24/2008,1249,,,Alan Jackson,,,4,,,3,,,,14,3,0,,,,Actif,1,,,Est,,,
Magasin du vélo ABC,Patrice Dupont-Roc,123 4567,WORC9712,2,,Limoges,France,,,,,,,,,,Limousin,445, avenue du Samedi,,,,,,87105,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"7 000 000,00 €",,2,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,33,,,First name Last name,1/24/2008,629,Patrice Dupont-Roc,,Jose Curry,2,,4,,,1,,,,33,8,0,,,,Actif,1,,,Centre,,,
Équipements pour VTT XYZ,Hans Gufler,123 4567,REC4286E,3,,Amiens,France,,,,,,,,,,Picardie,225, avenue du Vendredi,,,,,,80082,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"1 250 000,00 €",,2,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,14,,,First name Last name,1/24/2008,1820,Hans Gufler,,Jose Curry,2,,4,,,1,,,,14,8,0,,,,Actif,1,,,Centre,,,
Fournitures de loisirs ABC,Catherine Autier,123 4567,,1,,Paris,France,,,,,,,,,,Île-de-France,225, boulevard du Mardi,,,,,,75010,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"510 000 000,00 €",,2,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,14,,,First name Last name,1/24/2008,96,,,Gail Erickson,,,4,,,2,,,,14,3,0,,,,Actif,1,,,Ouest,,,
Centre du VTT LMN,Claudia Mangel,123 4567,EXEC324H,3,,Le Havre,France,,,,,,,,,,Haute-Normandie,113, impasse du Jeudi,,,,,,76620,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"6 000 000,00 €",,1,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,33,,,First name Last name,1/24/2008,39,,,Jose Curry,2,,4,,,1,,,,33,3,0,,,,Actif,1,,,Centre,,,
Centre du vélo LMN,Saskia Gnielka,123 4567,ELSGJ9J8,3,,Caen,France,,,,,,,,,,Basse-Normandie,113, boulevard du Samedi,,,,,,14000,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"300 000 000,00 €",,1,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,14,,,First name Last name,1/24/2008,47,,,Jose Curry,2,,4,,,2,,,,14,3,0,,,,Actif,1,,,Centre,,,
Entreprise du sport LMN,Martin Hansen,123 4567,,3,,Nice,France,,,,,,,,,,Provence - Alpes - Côte d'Azur,223, boulevard du Samedi,,,,,,O6100,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"29 000 000,00 €",,1,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,14,,,First name Last name,1/24/2008,1754,,,Alan Jackson,,,4,,,5,,,,14,3,0,,,,Actif,1,,,Est,,,
Entreprise de vélos LMN,Emmanuel Dubuc,123 4567,MAJ235A8,2,,Strasbourg,France,,,,,,,,,,Alsace,788, rue du Mercredi,,,,,,67101,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"40 000,00 €",,1,,First name Last name,1/24/2008,0,,,,,,0,1,0,0,someone@example.com,,,,,14,,,First name Last name,1/24/2008,3176,Emmanuel Dubuc,,Gail Erickson,2,,4,,,1,,,,14,8,0,,,,Actif,1,,,Ouest,,,
