Number,Subject,Title,Article,ArticleXML,Created By,Created On,Description,Key Words,Modified By,Modified On,Status,BaseTemplate
AKB-01002,Informations générales - Vélos,Informations de base sur le réglage,{ecd0ec96-4965-4a45-8c06-75ca68a601b0},"<articledata><section id='0'><content><![CDATA[AWC vous recommande de porter votre vélo chez un revendeur agréé pour la plupart des questions de maintenance. Veillez à contrôler votre vélo avant et après chaque course pour vérifier qu’aucune pièce n’est desserrée.]]></content></section><section id='1'><content><![CDATA[<P><STRONG>GRAISSAGE<BR></STRONG>Nettoyez et huilez fréquemment votre chaîne. Ne versez aucun lubrifiant sur les jantes, sinon vous aurez des problèmes de freinage ! Graissez périodiquement les câbles de freins et de dérailleur ainsi que les pivots. </P><P><BR><STRONG>ROUES ET PNEUS</STRONG><BR>Inspectez les roues et les jantes de votre vélo avant chaque course. Vérifiez que les roues sont correctement alignées, et qu'aucun rayon ne manque ou n’est desserré.</P><P><BR><STRONG>FREINS<BR></STRONG>Assurez-vous que vos freins fonctionnent, en roulant en avant et en arrière tout en actionnant les manettes de freins. Ils doivent freiner sec. Vérifiez l’usure de vos garnitures de freins.  Les câbles de freins se détendent à l’usage et doivent être ajustés.</P><P><STRONG>JEU DE DIRECTION<BR></STRONG>Assurez-vous que le guidon tourne librement sans gêne. Levez la roue avant et faites-la tourner en avant et en arrière pour vous assurer qu'elle n'est pas voilée ou mal fixée.</P><P><STRONG>NETTOYAGE DE VOTRE VéLO<BR></STRONG>Lavez votre vélo avec de l’eau et un détergent léger. N’utilisez pas de tuyau sous pression. Après lavage, séchez avec un chiffon doux.  Ne mouillez pas les paliers pour ne pas affecter leur graissage.</P>]]></content></section></articledata>",First name Last name,21/01/2008,,"maintenance, vérifier, contrôler, frein, nettoyer",First name Last name,21/01/2008,Non approuvé,Procédure
AKB-01053,Service,Conseils pour les pneus sans chambre,{834dff73-9568-4d21-b1cd-878561c51221},"<articledata><section id='0'><content> Pour installer un pneu neuf sur un système sans chambre à air, placez à l’intérieur une chambre et gonflez-la à 4 bars (60 PSI). Laissez le pneu un jour ou deux dans un lieu chaud, ou roulez avec.  Le talon du pneu d’adapte à la jante et les« plis» dus au pliage du Kevlar dans une boîte disparaissent.  Retirez alors la chambre à air, et gonflez le pneu avec un produit d’étanchéité. Vous pouvez envisager d’utiliser un pneu UST standard à l’arrière.  Il est plus lourd, mais plus résistant au niveau de la jante aux coupures dues à des rochers et des racines, et risque moins de se fendre sur la bande en vieillissant.  Les fonds de jante sont fragiles et présentent facilement des fuites autour de la jante.  Veillez à utiliser le petit boulon pour fixer la tige. Sinon, vous risquez de pousser le fond de jante dans le pneu (et non pas sous le talon du pneu) lorsque vous essaierez de gonfler le pneu.  Tous les 90 jours, retirez votre pneu, enlevez la pâte et remplacez avec un produit d’étanchéité neuf. Si vous ne le faites pas, il épaissit et se transforme en gel.  Le produit Stan's fragilise le caoutchouc sur les flancs du pneu. Après un mois ou deux, le pneu risque d’éclater. Les marques de pneus spécialisés semblent plus sujets à ces accidents.  Si vous avez une roue sans chambre UST, essayez d’utiliser un pneu standard avec 30 dcl de produit d’étanchéité pour pneus Stan's. Il est plus léger que tout autre type de produits pour pneus.  Vous pouvez reproduire le système Stan’s vous-même. Vous pouvez acheter du produit d’étanchéité moins cher dans un magasin automobile. Les fonds de jante peuvent se fabriquer avec une chambre de diamètre inférieur et une lame de rasoir. (Il y a une technique pour fabriquer ces bandes, mais c’est faisable.)  Si vous utilisez le produit d’étanchéité Stan's, il est inutile de rapiécer les petites fuites. Le bouchon initial durcit avec la chaleur et l’usage. La« boue» finira pas se décoller, et le vieux trou deviendra un nouveau trou  Il y a des moyens d’étanchéifier des jantes non-UST avec du ruban d’emballage ou isolant ; c’est efficace et vous n’êtes pas obligé d’acheter le fond de jante Stan's.  Sur un pneu non-UST, le talon est plus brut que sur un vrai pneu sans chambre, et l’air a tendance à fuir lentement. étalez avec un chiffon un peu de Slime (ou une autre marque de produit d’étanchéité) sur le talon du pneu et à l’intérieur de la jante avant de gonfler le pneu. Mais NE LE FAITES PAS si votre roue n’est pas parfaitement à l’abri du sable et de la poussière !  Procurez-vous quelques flacons souples en plastique. Coupez le haut pour obtenir un entonnoir qui s’adapte dans la valve de la doublure du pneu. En remplissant, veillez à avoir plein de grumeaux dans le produit d’étanchéité - ils aident à colmater les trous plus importants. Emportez un flacon dans votre sac chaque fois que vous montez à vélo.  Achetez une minipompe avec double fonction de gonfleur à cartouche de CO2, et de pompe normale. Si vous avez de gros pneus, le gonfleur CO2 risque de ne pas gonfler le pneu suffisamment. Avec un gonfleur double fonction, vous pouvez utiliser la pompe pour compléter la pression après injection du CO2.  Procurez-vous un gonfleur CO2 utilisant des cartouches à petit col, non fileté. Achetez vos cartouches de rechange dans un magasin de sport, vous les paierez deux fois moins cher que dans un magasin de vélos.  Achetez un petit compresseur avec réservoir pour gonfler vos pneus (magasins de peinture). Procurez-vous un onduleur de puissance de briquet et emportez votre compresseur dans vos randonnées. Vous n’imaginez pas combien de fois j’ai économisé 3 dollars de cartouche de CO2, et même ceux qui ont des pneus avec chambre raffolent de mon système.</content></section></articledata>",First name Last name,21/01/2008,Conseils pour les pneus sans chambre,pneus sans chambre,First name Last name,21/01/2008,Publié,Procédure
AKB-01055,Service,Alignement de la roue,{dca7ac91-afdf-4dea-8b14-8f81f4a6fb5a},"<articledata><section id='0'><content>Laissez la roue sur le vélo, et le pneu et la chambre gonflés. Suspendez le vélo. Faites tourner la roue pour détecter dans quel secteur elle est le plus courbée. Utilisez les patins de freins (peut-être ajustés plus serré) ou un crayon tenu près du cadre pour marquer clairement l’emplacement de la courbure.Si vous raccourcissez certains des rayons qui relient le secteur courbé au côté du moyeu opposé à la direction de la courbure, ou si vous allongez les rayons du côté de la courbure, la jante doit retrouver la bonne forme.</content></section></articledata>",First name Last name,21/01/2008,Alignement de la roue,alignement,First name Last name,21/01/2008,Publié,Procédure
AKB-01025,Vélos de tourisme,Fonctionnalités de personnalisation pour le vélo de tourisme Adventure Works Cycle,{809d9151-fbf5-404d-b3c3-8fcde97bee01},"<articledata><section id='0'><content><![CDATA[<P><B>Toutes les options et les suppléments sont disponibles sur les modèles suivants :</B></P><UL dir=ltr><LI><DIV >Série BK-T18 (tourisme niveau standard)</DIV><LI><DIV></DIV><LI><DIV>Série BK-T79 (tourisme haut de gamme)<o:p></o:p></DIV></LI></UL>]]></content></section><section id='1'><content><![CDATA[<P><B>Options :<B></P><UL><LI><DIV>Pédales </DIV><UL><LI><DIV>Cale-pied &amp; fixation</DIV><LI><DIV>Clipless</DIV></LI></UL><LI><DIV>Tube de selle</DIV><UL><LI><DIV>court (54,5 cm)</DIV><LI><DIV>standard (57,5 cm)</DIV><LI><DIV>long (60,5 cm)</DIV></LI></UL><LI><DIV>Couleur de cadre</DIV><UL><LI><DIVNoir</DIV><LI><DIV>Rouge</DIV><LI><DIV>Bleu</DIV><LI><DIV>Gris métallisé</DIV><LI><DIV>Jaune</DIV></LI></UL><LI><DIV>Matériau du cadre</DIV><UL><LI><DIV>Alliage aluminium</DIV><LI><DIV>Acier</DIV></LI></UL><LI><DIV>Poignées— anatomiques</DIV><LI><DIV>Selle</DIV><UL><LI><DIV>super molle</DIV><LI><DIV>réfléchissante</DIV><LI><DIV>cuir</DIV></LI></UL><LI><DIV>Pneus— tous terrains</DIV><LI><DIV>Porte-bagages et garde-boue</DIV></LI></UL><P class=MsoNormal style='MARGIN: 0in 0in 0pt'><B style='mso-bidi-font-weight: normal'>Suppléments :<o:p></o:p></B></P><UL><LI><DIV>Finition enduit lustré</DIV><LI><DIV>Décalcomanies</DIV><LI><DIV>Réflecteurs</DIV><LI><DIV>Support deux bouteilles</DIV><LI><DIV>Manuel de l’utilisateur</DIV></LI></UL>]]></content></section></articledata>",First name Last name,21/01/2008,,"personnalisé, fonctionnalité, tourisme, option, supplément, BK-T18, BK-T44, BK-T79",First name Last name,21/01/2008,Publié,Procédure
AKB-01035,Service,Retrait et remplacement des pignons,{b19716a8-d0fe-404b-a7f8-921669db939a},"<articledata><section id='0'><content>Les pignons doivent être retirés pour le remplacement des rayons de la roue arrière. Ou bien vous devez dégager un pignon spécifique pour redresser une dent tordue. Avec le temps, les dents s’usent et toute la roue libre doit être remplacée. Si vous nettoyez régulièrement votre chaîne et si vous la changez tous les 1500 km, vos pignons dureront plus longtemps.</content></section></articledata>",First name Last name,21/01/2008,Retrait et remplacement des pignons,"pignons, retrait",First name Last name,21/01/2008,Publié,Procédure
AKB-01051,Service,Entretien du coussin poreux de l’amortisseur,{3022b43c-5a24-415f-b669-9248251df5b8},"<articledata><section id='0'><content>Le coussin poreux est le joint qui empêche la poussière et les débris de pénétrer dans votre amortisseur. Il a pour rôle d’essuyer la saleté lorsque le piston s’enfonce dans le cylindre. Pour jouer correctement son rôle, il doit être imbibé de lubrifiant. S’il est sec, la saleté reste sur la tige et attaque le revêtement. Le coussin poreux doit être nettoyé et lubrifié après 25 heures de course.</content></section></articledata>",First name Last name,21/01/2008,Entretien du coussin poreux de l’amortisseur,amortisseurs,First name Last name,21/01/2008,Publié,Procédure
AKB-01048,Service,"Centrage, en fonction de la tension des rayons",{830bb3a0-c7f1-41d4-90b1-9866dcc67764},"<articledata><section id='0'><content>Rayons dans l’ensemble assez lâches : Resserrez deux rayons attachés du côté de l’intervalle, 1/4 de tour pour chacun (sens des aiguilles d’une montre) Rayons à peu près droits, en moyenne : Resserrez deux rayons du côté du taraud, 1/8 de tour pour chacun (sens des aiguilles d’une montre) Desserrez les rayons intermédiaires (attachés sur l’autre côté), 1/8 de tour pour chacun Rayons semblant dans l’ensemble trop serrés : Desserrez deux rayons à L’OPPOSé de l’intervalle, 1/4 de tour pour chacun (sens inverse des aiguilles d’une montre)</content></section></articledata>",First name Last name,21/01/2008,"Centrage, en fonction de la tension des rayons","centrage, rayon",First name Last name,21/01/2008,Brouillon,Procédure
AKB-01024,Vélos de route,Spécifications et géométrie des vélos de route,{54618781-8dc9-4b56-aaa2-9929b4d6feb8},"<articledata><section id='0'><content><![CDATA[Spécifications détaillées et géométrie des vélos de route]]></content></section><section id='1'><content><![CDATA[<P><STRONG>Géométrie des vélos de route<BR></STRONG> <BR>Tailles                                  38      40      42      48</P><P><BR>Hauteur en surplomb (pouces)            26,9    28,0    30,4    31,6   <BR>Angle du tube de selle(degrés)     73,1    73,1    73,1    73,1<BR>Angle du tube de direction(degrés)     70,0    70,0    70,0    70,0<BR>Longueur du tube horizontal (pouces)             21,2    22,5    23,1    23,5<BR>Longueur des bases (pouces)            16,7    16,7    16,7    16,7<BR>Hauteur du pédalier (pouces)     12,2    12,2    12,2    12,2<BR>Empattement (pouces)                     41,8    42,0    42,7    43,8</P><P> </P><P><STRONG>Spécifications du vélo de route</STRONG></P><P>Tailles :                 38, 40, 42, 46, 48, 50, 52 <BR>Couleurs :                Noir, Argent<BR>Cadre :                Aluminium traité thermiquement<BR>Fourche :                  débattement variable<BR>Jeu de direction :             partie haute AWC<BR>   <BR>Manivelles :            Triple aluminium<BR>Pédalier:   Acier chromé<BR>Dérailleur avant:    Maillon large<BR>Dérailleur arrière:     Roulement annulaire<BR>Leviers de vitesses :        8, 9, ou 10 vitesses<BR>Chaîne:                 Chaîne à rouleaux 3/32'</P><P>Roue libre :          Roulement annulaire 8, 9 ou 10 vitesses   <BR>Moyeu :              Composition arrière, disque<BR>Rayons :              Acier inox<BR>Jantes :                  fibre de carbone<BR>Pneus :                 700 x 23c sans chambre<BR>   <BR>Freins :               Disque mécanique<BR>Manettes de freins :       Alliage, ajustables<BR>Pédales :               Résine, clipless<BR>Guidon :         Renforcé<BR>Tube de selle :           AWC Compétition<BR>Selle :              Vinyle noir, rails titane<BR></P>]]></content></section></articledata>",First name Last name,21/01/2008,,,First name Last name,21/01/2008,Publié,Procédure
AKB-01005,Composants,Informations de base sur le guidon et les poignées,{87f36d3a-51d4-4370-8382-99fdbeb98bae},"<articledata><section id='0'><content><![CDATA[Il existe divers types de guidons pour les VTT, les vélos de ville et les vélos de tourisme.<BR>Les guidons de VTT vous permettent de conserver une position aérodynamique durant de longues périodes sans vous fatiguer les bras.]]></content></section><section id='1'><content><![CDATA[<P>Le guidon de course est recourbé vers le bas.</P><P>Les guidons droits sont les plus courants et offrent le meilleur confort parce que le corps peut être en position droite.</P><P>Une bande de tissu, de plastique ou de cuir peut entourer le guidon pour offrir une meilleure prise.</P><P>Les pièces sont le guidon, les rallonges de guidon, la poignée, la potence et la bande.</P><P>Les rallonges de guidon sont des poignées orientées vers le haut placées aux extrémités du guidon, qui vous donnent une meilleure prise dans les côtes.</P><P>Le guidon est fixé au tube de direction.</P>]]></content></section></articledata>",First name Last name,21/01/2008,,"guidon, poignée, aérodynamique, position, tube, extrémité, poignée, potence, bande",First name Last name,21/01/2008,Brouillon,Procédure
AKB-01036,Service,maintenance de la chaîne,{120c057d-d57f-4b55-b0d6-9c30356118da},"<articledata><section id='0'><content>Mesure de la longueur d’une chaîne contenant 12 plaques extérieures. Du premier axe de la plaque n°1 au premier axe de la plaque n°12, la chaîne mesure exactement 12 pouces. (Pour vérifier si la chaîne s’est détendue, placez une chaîne neuve à côté de la vieille.) Tirez latéralement sur la chaîne (courbez-la doucement de côté, ou tenez-la de façon qu’elle fléchisse latéralement en penchant). La chaîne ne doit pas fléchir de plus de 2 pouces pour une longueur de 12 pouces. Si la chaîne ne remplit pas l’une ou l’autre de ces conditions, elle doit être remplacée.</content></section></articledata>",First name Last name,21/01/2008,maintenance de la chaîne,chaîne,First name Last name,21/01/2008,Publié,Procédure
AKB-01037,Service,Remplacement de la manette de frein,{76bbad2e-1dbe-4432-8d3e-9f567f4ddc4a},"<articledata><section id='0'><content>Tirez la manette de frein vers l’arrière pour découvrir l’agrafe de butée. S’il y a une fente dans la poignée et des boutons de réglage de la tension des câbles, alignez-les pour dégager le câble. Tenez le câble et faites-le tourner pour que la fente de l’agrafe de butée soit alignée avec le câble. Soulevez le câble hors de l’agrafe de butée.</content></section></articledata>",First name Last name,21/01/2008,Remplacement de la manette de frein,"frein, manette",First name Last name,21/01/2008,Publié,Procédure
AKB-01040,Service,Changement des patins de freins,{bd9a0419-5f51-4bc9-b0e6-a30f0c937231},"<articledata><section id='0'><content>Pour changer les patins de frein, retirez la roue. Prenez un patin par sa poignée. Déplacez la poignée vers l’intérieur de la fente, et tirez fermement. (Sur les modèles Avid et Hayes, une agrafe maintient les patins. Vous devez forcer la résistance de cette agrafe.) Le patin glisse hors de son logement. Tournez les dispositifs de réglage des patins (les deux boutons interne et externe) pour élargir l’espacement de l’étrier, et faire de la place pour les patins neufs, plus épais. Insérez les nouveaux patins. Attention, les patins ont un recto et un verso, un haut et un bas. Appuyez sur le patin jusqu’à sentir un clic : il est en place. Vérifiez que les patins sont bien maintenus par l’agrafe, et placés au-dessus du piston de l’étrier. Un patin mal installé ne fonctionnera pas.</content></section></articledata>",First name Last name,21/01/2008,Changement des patins de freins,patins de freins,First name Last name,21/01/2008,Publié,Procédure
AKB-01030,Service,Ajustement du pédalier,{3aeb818c-3235-4416-84cd-a40a21dfeefa},"<articledata><section id='0'><content>Desserrez le contre-écrou ou la bague extérieurs (filetée à gauche sur la plupart des vélos américains, donc pour desserrer, tournez dans le sens des aiguilles d’une montre), tournez l’écrou intérieur pour obtenir l’ajustement correct, puis resserrez le contre-écrou ou la bague. Vous devrez peut-être recommencer plusieurs fois pour parvenir au bon réglage. Vérifiez l’ajustement sans la chaîne. Les roulements ne doivent pas être lâches, mais les manivelles doivent tourner librement.</content></section></articledata>",First name Last name,21/01/2008,Ajustement du pédalier,"pédalier, contre-écrou, manivelle",First name Last name,21/01/2008,Publié,Procédure
AKB-01056,Service,Installation de poignées,{c7a8ef2e-3ffa-46ea-ba3b-a57905e0d559},"<articledata><section id='0'><content>Placées aux extrémités de la plupart des guidons, les poignées offrent un endroit confortable et sûr où poser les mains. L’installation de poignées de guidon peut nécessiter un peu de technique. Pour retirer d’anciennes poignées, si elles ne doivent plus être utilisées, vous pouvez les découper avec un grand couteau. Si vous voulez les conserver, procédez de l’une des façons suivantes :1. Envoyez de l’air comprimé sous le bord intérieur des poignées, vous pourrez les faire glisser facilement. Ne remplissez pas le guidon d'air comprimé. C’est dangereux et inutile. 2. Maintenez le guidon et le bord de la poignée avec des pinces (et un chiffon pour éviter de rayer le guidon). Tapez sur le côté des pinces avec un marteau doux pour débloquer la poignée.Pour installer des poignées, mouillez légèrement la poignée et le guidon, et faites glisser la poignée doucement d’un seul mouvement. N’utilisez votre vélo que lorsque l’eau aura séché et que la poignée se sera resserrée. Si la poignée résiste ou reste bloquée à mi-parcours, vous pouvez souffler de l’air comprimé sous sa bordure ; l’air décollera la poignée du guidon, agissant comme un lubrifiant. Si vous n’avez pas d’air comprimé, tapez sur le bord de la poignée avec un marteau doux. </content></section></articledata>",First name Last name,21/01/2008,Installation de poignées,poignées,First name Last name,21/01/2008,Publié,Procédure
AKB-01039,Service,Ajustement de la tension du câble,{52900f0e-abda-4dff-903d-a8f726f5c326},"<articledata><section id='0'><content>Le câble étant détendu, poussez légèrement vers le haut le bras d’activation jusqu’à ce qu’il ne bouge plus. (à ce stade, il a poussé les patins contre le rotor.) Tirez maintenant environ un ou deux centimètres de câble.Fixez le câble. Serrez la manette de frein pour voir si le freinage intervient à un point confortable pour la main. Normalement, vous devez avoir au moins 2,5 cm entre le guidon et la manette de frein lorsque le frein freine« à bloc». Si nécessaire, réajustez la position du bras d’activation sur le câble, jusqu’à ce que le freinage intervienne à un point raisonnable. </content></section></articledata>",First name Last name,21/01/2008,Ajustement de la tension du câble,"câble, tension",First name Last name,21/01/2008,Publié,Procédure
AKB-01017,Composants,Graissage de la chaîne d’un vélo Adventure Works Cycle,{3039fa89-2164-4bf8-ae08-adc6161bf7a0},"<articledata><section id='0'><content><![CDATA[<P><STRONG>Concerne les modèles :</STRONG></P><UL><LI><DIV>Tourisme</DIV><LI><DIVRoute</DIV><LI><DIV>VTT</DIV></LI></UL><P><STRONG>Numéros de produits commençant par :</STRONG></P><UL><LI><DIV>BK-T</DIV><LI><DIV>BK-R</DIV><LI><DIV></DIV></LI></UL>]]></content></section><section id='1'><content><![CDATA[<P><B>Pourquoi :</B><?xml:namespace prefix = o ns = 'urn:schemas-microsoft-com:office:office' /></P><P>La chaîne de votre vélo est constamment exposée aux éléments extérieurs. Vous devez graisser et nettoyer fréquemment votre chaîne pour réduire l’usure de la chaîne et des dents. Ceci allongera considérablement la vie des pignons et de la transmission. Si vous sortez souvent par temps humide, il sera nécessaire de graisser la chaîne plus souvent. Tâtez la chaîne avec vos doigts. Si vos mains ne sont pas grasses, il est temps de graisser votre chaîne.</P><P> </P><P><B>Comment faire</B></P><P>La bonne maintenance de la chaîne tient en deux étapes.  Nettoyez la chaîne en pulvérisant un bon produit dégraissant, puis lavez ce produit et appliquez ensuite l’agent lubrifiant.</P><P> </P><P>Le type de lubrifiant dépend des conditions dans lesquelles vous roulez le plus : temps sec ou temps pluvieux.  Si vous roulez par temps très sec, prenez un lubrifiant de type cire ou paraffine.  Il attire moins la poussière sur la chaîne, mais vous devrez le renouveler souvent en cas de pluie, et il n’est pas aussi efficace qu’un lubrifiant à base d’huile.  Un lubrifiant huile attire la poussière, mais dure plus longtemps car il résiste à l’eau.</P><P> </P><P><B>Procédure :</B></P><OL><LI>Suspendez le vélo sur un râtelier ou placez sa barre horizontale sur l’angle d’une table.<LI>Nettoyez la chaîne avec un bon dégraissant et lavez-la.  Ou bien achetez une machine à nettoyer les chaînes de vélos.  Il s’agit d’un petit boîtier qui s’attache sur la partie inférieure de la chaîne et qui la fait passer dans un bain de solvant, en général au moyen d’un système de brosses et de rouleaux.  Ceci applique une méthode de récurage qui nettoie les rouleaux de la chaîne.<LI>Tournez les pédales vers l’arrière à la main, tout en versant l’huile en un fin filet sur les rouleaux. Faites faire deux tours complets à la chaîne.<LI>Si nécessaire, essuyez l’huile en excédent en maintenant un torchon absorbant sur la chaîne tout en tournant les pédales.</LI></OL><P><B>Les pièges à éviter :</B></P><UL><LI><DIV>N’utilisez pas de vaporisateur pour ne pas répandre d’huile à côté.</DIV><LI><DIV>Attention si vous choisissez un lubrifiant de type cire.  Ils ne durent pas longtemps.</DIV><LI><DIV>Nettoyez et dépoussiérez la chaîne avant de la graisser, car l’huile neuve risque d’entraîner la saleté à l’intérieur de la chaîne.</DIV><LI><DIV>Si votre chaîne commence à grincer ou à sécher, graissez-la immédiatement !  Vérifiez la chaîne <U>avant</U> de partir à vélo.</DIV></LI></UL>]]></content></section></articledata>",First name Last name,21/01/2008,,"BK-T, BK-R, BK-M, tourisme, route, VTT, chaîne, huile, graissage, nettoyer, dégraisser, maintenance, cire, paraffine",First name Last name,21/01/2008,Publié,Procédure
AKB-01004,Composants,Chaînes et roues libres,{17409b05-d502-4b17-8b69-b2bb0a4fd313},"<articledata><section id='0'><content><![CDATA[La roue libre est l’ensemble de pignons qui équipent la roue arrière.  Elle ne tourne que dans une direction, d’où son nom. Elle vous permet de laisser aller en roue libre, sans pédaler.]]></content></section><section id='1'><content><![CDATA[<P>La chaîne passe d’un pignon à un autre lorsque vous changez de vitesse.  Elle transmet vos efforts de pédalage à la roue arrière.  Elle est guidée par le dérailleur, et commandée par la manette de dérailleur.</P><P>Les roues libres doivent être lubrifiées de temps à autre. Pour une maintenance optimale, voir l’article distinct sur le graissage de la chaîne. à l’usage, la chaîne se détend et n’est plus correctement tendue sur les pignons.</P>]]></content></section></articledata>",First name Last name,21/01/2008,,"chaîne, roue libre, roue, pédale, pignon, changement de vitesse, transmission, dérailleur, manette de dérailleur",First name Last name,21/01/2008,Publié,Procédure
AKB-01012,Composants,Informations de base sur le dérailleur,{fe8d9244-5a4d-4413-9e5a-b38761f2de4f},"<articledata><section id='0'><content><![CDATA[Un dérailleur est un appareil qui permet de passer les vitesses sur un vélo en déplaçant la chaîne entre des plateaux ou des pignons de tailles différentes.]]></content></section><section id='1'><content><![CDATA[<P>Le dérailleur avant est une forme de cage qui déplace la chaîne latéralement d'un plateau à l'autre.<BR>Le dérailleur arrière est similaire mais contient également un bras avec des galets à ressort qui tendent la chaîne lorsqu'elle se déplace sur des pignons plus petits.</P><P>Les vélos Adventure Works Cycles sont équipés de cages de chaîne en alliage léger plaqué nickel qui résistent à l'usure.</P><P>Les liaisons parallèles en aluminium forgé sont extra larges pour offrir plus de rigidité et améliorer la réaction au changement de vitesse.</P><P>Comporte un galet de tension (dérailleur) et une poulie de guidage.</P><P>Compatible sept vitesses, pour pédalier triple, changement de vitesses de précision avec coefficient de frottement réduit, grand diamètre de galet et lignes courbes.</P>]]></content></section></articledata>",First name Last name,21/01/2008,,"dérailleur, changement de vitesses, vitesse, cage, bras, galet, ressort",First name Last name,21/01/2008,Brouillon,Procédure
AKB-01008,Composants,Anatomie de la selle,{1c90c757-e2ea-4579-9299-b60543211892},"<articledata><section id='0'><content><![CDATA[La selle du vélo peut être en cuir ou en plastique. Les selles de cuir sont poreuses et respirent mieux que les selles de plastique. Mais elles coûtent plus cher et demandent une période d’adaptation. Elle sont moulées sur une forme métallique. Les selles en plastique sont moulées autour d’un coussin de gel ou de mousse.]]></content></section><section id='1'><content><![CDATA[<P>Plusieurs critères doivent être pris en compte pour le choix d’une selle, et la plus molle n’est pas forcément la meilleure. La largeur de la selle est critique en matière de confort. </P><P>Vérifiez et essayez le réglage de la selle avant de déterminer qu’elle n’est pas confortable. Une bonne hauteur de selle est essentielle pour le confort.</P><P>La suspension du vélo peut aussi être cause d’une gêne que vous attribuez à la selle.</P>]]></content></section></articledata>",First name Last name,21/01/2008,,"selle, cuir, plastique, métal, forme, mousse, coussin",First name Last name,21/01/2008,Publié,Procédure
AKB-01022,Sponsoring des cyclistes,Liste et profils de l’équipe cycliste,{33d2346a-b510-4c64-b89f-b712c074726c},"<articledata><section id='0'><content><![CDATA[Liste et profils de l’équipe cycliste]]></content></section><section id='1'><content><![CDATA[<P>Les cyclistes actuels de l’équipe AWC sont les suivants :</P><P>John <BR>fait partie de l’équipe AWC depuis 1999.<BR>Il a gagné de nombreuses compétitions.<BR>Il monte sur VTT.</P><P>Sophie <BR>est entrée dans l’équipe en 2001.<BR>C’est une concurrente acharnée sur route, elle a gagné l’an dernier la course sur route la plus cotée.</P><P>Georges<BR>court pour AWC depuis cette année.<BR>Spécialiste sur VTT, il a un fort potentiel.</P><P><BR>Vous pouvez envoyer vos CV à :<BR>Adventure Works Cycle<BR>Bothell, WA 505-0100<BR><A href='mailto:someone@example.com'>someone@exemple.com</A><BR></P>]]></content></section></articledata>",First name Last name,21/01/2008,,"cycliste, profil, équipe, CV",First name Last name,21/01/2008,Publié,Procédure
AKB-01003,Composants,Informations de base sur les pneus et les chambres à air,{7713c596-1917-45d9-8562-c13d8ac88b59},"<articledata><section id='0'><content><![CDATA[Les pneus sont constitués de trois composants : 1) deux anneaux de câble d’acier renforcé nommés talons, 2) un tissu qui forme le corps du pneu, et qui est tissé entre les deux anneaux - habituellement faits de nylon et appelés fils câblés, et 3) le caoutchouc qui recouvre les talons et les fils câblés.]]></content></section><section id='1'><content><![CDATA[<P>à l’intérieur se trouve une chambre à air dotée d’une valve.</P><P>Pour réparer une crevaison, il vous faut un démonte-pneu. Démontez la roue du vélo, puis à l’aide du démonte-pneu, séparez le pneu de la jante. Retirez la chambre à air.</P><P>Pour replacer le pneu sur la jante, replacez la valve dans le trou ménagé pour la valve.</P><P>Lorsque vous partez en vélo, emportez toujours des rustines, une pompe, une chambre à air neuve et un démonte-pneu.</P><P>Vérifiez souvent le gonflage des pneus. Examinez la bande de roulement<BR>Les pneus à crampons, les pneus lisses, les bords de bandes de roulement agressifs adhèrent mal sur la chaussée.</P>]]></content></section></articledata>",First name Last name,21/01/2008,,"pneu, chambre, carcasse, dégonflé, valve, tube, jante",First name Last name,21/01/2008,Publié,Procédure
AKB-01038,Service,Alignement du mécanisme d’étrier,{e2590750-e89c-4b88-993c-d0aa00245509},"<articledata><section id='0'><content>Desserrez les deux boulons qui maintiennent le corps du frein sur la fourche. Ces boulons sont orientés vers l’avant le long de l’axe du rotor, un au-dessus et un au-dessous des étriers. Les trous pour ces boulons ménagent un certain jeu qui permet de positionner le mécanisme de l’étrier. Si l’étrier est visiblement tordu, vous pouvez lui donner un petit coup pour le recentrer sur le rotor. Tournez maintenant le dispositif de réglage de la patte intérieure jusqu’à ce que celle-ci touche le rotor. Puis faites de même pour la patte extérieure pour qu’elle serre étroitement la partie tournante. (Les deux pattes serrées forcent le corps de l’étrier à s’aligner avec le rotor.)</content></section></articledata>",First name Last name,21/01/2008,Alignement du mécanisme d’étrier,"étrier, alignement",First name Last name,21/01/2008,Brouillon,Procédure
AKB-01011,Composants,Informations de base sur les freins,{bb35c730-0568-49bb-b826-ddf16e34b756},"<articledata><section id='0'><content><![CDATA[La plupart des freins de vélo utilisent un mécanisme de type étrier pour serrer les porte-patins sur la jante. Un seul mécanisme est utilisé pour resserrer les porte-patins. Un frein cantilever a deux bras séparés, un de chaque côté de la jante.]]></content></section><section id='1'><content><![CDATA[<P>Les roues doivent être en bon état. Il est essentiel de surveiller les jantes. Les surfaces de freinage ne doivent pas être usées. Les patins de freins doivent se trouver à la bonne distance de la jante.</P><P>Il existe des freins à disque, à blocage, hydrauliques et à câble.</P><P>Un frein à mâchoires est en général monté sur l’entretoise, un tube connectant les haubans.</P><P><BR>Il convient de vérifier que les manettes de frein sont étroitement fixées sur le guidon.</P>]]></content></section></articledata>",First name Last name,21/01/2008,,"frein, porte-patin, jante, manette, guidon, bras, patin, disque, blocage rapide, hydraulique, câble",First name Last name,21/01/2008,Publié,Procédure
